strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
KJ501505	2002-07-17	USA	OK	OK	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501508	2003-07-31	USA	TX	TX	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501510	2002-08-02	USA	AR	AR	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501511	2002-08-02	USA	AR	AR	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501514	2002-10-02	USA	GA	GA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501517	2002-08-15	USA	OH	OH	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501519	2002-08-13	USA	VA	VA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501520	2004-10-15	USA	MN	MN	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501521	2006-07-18	USA	NV	NV	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501522	2004-07-30	USA	NC	NC	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501523	2006-07-25	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501524	2006-09-07	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501525	2004-08-06	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501526	2006-07-17	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501527	2003-08-04	USA	TX	TX	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501529	2006-08-16	USA	WI	WI	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501530	2012-09-27	USA	PA	PA	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501531	2012-08-07	USA	NY	NY	Mosquito-Culex	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
